대학코드	모집정원	학과코드	계열	학과명	수시 경쟁률	정시 경쟁률
0002744	31	0224665	인문사회계열	경영학과	8.81 : 1	7.83 : 1
0002744	1	0235962	인문사회계열	국제융합학부	4 : 1	0 : 1
0002744	26	0233431	인문사회계열	항공서비스학과	6.7 : 1	2.5 : 1
0002744	25	0229408	자연과학계열	외식사업학과	5.04 : 1	9 : 1
0002744	40	0224659	자연과학계열	호텔조리학과	11 : 1	4 : 1
0002744	73	0224675	공학계열	컴퓨터공학과	6.62 : 1	8.6 : 1
0002744	62	0229407	공학계열	소프트웨어학과	5.02 : 1	12.33 : 1
0000005	33	0010429	인문사회계열	국어국문학과	13.29 : 1	7.73 : 1
0000005	64	0019256	인문사회계열	영어영문학과	13.23 : 1	7.05 : 1
0000005	41	0011916	인문사회계열	사학과	10.5 : 1	7.38 : 1
0000005	24	0017349	인문사회계열	철학과	12.07 : 1	8.57 : 1
0000005	30	0018532	인문사회계열	불어불문학과	11.71 : 1	7.6 : 1
0000005	29	0019523	인문사회계열	독어독문학과	11.75 : 1	7.33 : 1
0000005	23	0013855	인문사회계열	중어중문학과	14.38 : 1	6.73 : 1
0000005	23	0219479	인문사회계열	고고인류학과	12 : 1	6 : 1
0000005	29	0019672	인문사회계열	일어일문학과	12.37 : 1	6.33 : 1
0000005	22	0016926	인문사회계열	한문학과	10.57 : 1	7.29 : 1
0003118	30	U012372	자연과학계열	기계융합공학과	3.68 : 1	3.11 : 1
0003118	30	U012373	예체능계열	휴먼헬스케어학과	4.63 : 1	2.83 : 1
0003118	46	U012374	인문사회계열	국어국문학과	4.85 : 1	4.17 : 1
0003118	31	U012375	인문사회계열	독어독문학과	6.15 : 1	4.2 : 1
0003118	33	U012376	인문사회계열	러시아학과	5.46 : 1	5.2 : 1
0003118	32	U012377	인문사회계열	불어불문학과	5.18 : 1	4.6 : 1
0003118	38	U012378	인문사회계열	사학과	10.04 : 1	3.33 : 1
0003118	51	U012379	인문사회계열	영어영문학부 영어영문학전공	4.81 : 1	4.14 : 1
0003118	37	U012380	인문사회계열	영어영문학부 영어전공	4.75 : 1	4.44 : 1
0003118	41	U012381	인문사회계열	중어중문학과	4.38 : 1	4.3 : 1
0000062	102	0211950	인문사회계열	인문문화학부	4.42 : 1	3.5 : 1
0000062	93	0211271	인문사회계열	글로컬문화학부	6.47 : 1	3.2 : 1
0000062	83	0012194	인문사회계열	영어영문학과	4.29 : 1	2.67 : 1
0000062	84	0211357	인문사회계열	중국학과	3.24 : 1	3.33 : 1
0000062	43	0010798	인문사회계열	문헌정보학과	6.24 : 1	3.67 : 1
0000062	31	0019001	인문사회계열	유아교육과	9.65 : 1	2.5 : 1
0000062	14	0012369	인문사회계열	윤리교육과	8.38 : 1	7 : 1
0000062	33	0224168	인문사회계열	심리학과	8.04 : 1	5.25 : 1
0000062	52	0012033	인문사회계열	법학과	5.2 : 1	4.83 : 1
0000062	55	0231749	인문사회계열	경찰행정학과	10.4 : 1	3.2 : 1
0000244	100	0220958	공학계열	항공기계공학과	3.61 : 1	0.35 : 1
0000244	60	0220907	공학계열	항공전자공학과	1.12 : 1	0.12 : 1
0000244	60	0220906	공학계열	항공정보통신공학과	1.02 : 1	0.02 : 1
0000244	20	U013435	공학계열	에너지소재공학과	1.07 : 1	0.2 : 1
0000244	60	U013436	공학계열	소프트웨어학부	1.17 : 1	0.21 : 1
0000244	52	0222065	공학계열	무인기공학과	2.62 : 1	0.14 : 1
0000244	40	0220908	공학계열	항공운항학과	4.17 : 1	2.09 : 1
0000244	35	U013437	인문사회계열	항공관광서비스학과	2.47 : 1	0.09 : 1
0000244	30	0233550	인문사회계열	항공교통물류학과	2.43 : 1	0.63 : 1
0000244	40	0220953	공학계열	안전방재공학과	1.5 : 1	0.83 : 1
0000256	658	0016234	인문사회계열	초등교육과	5.33 : 1	1.87 : 1
0000064	34	U001376	공학계열	자율전공학부	3.45 : 1	1.03 : 1
0000064	70	U013136	공학계열	스마트디자인공학부	0 : 1	0 : 1
0000064	41	U013236	공학계열	전기전자에너지학부	0 : 1	0 : 1
0000064	70	0230205	공학계열	철도학부	4.65 : 1	2.25 : 1
0000064	7	U013574	공학계열	SMART엔지니어링대학	0 : 1	0 : 1
0000064	114	0001785	공학계열	소방방재학부	5.11 : 1	1.8 : 1
0000064	28	U013141	공학계열	건축디자인과(5년제)	0 : 1	0 : 1
0000064	30	U013151	공학계열	건축토목공학과	0 : 1	0 : 1
0000064	20	U013568	공학계열	스마트보안학과	0 : 1	0 : 1
0000064	100	0233285	예체능계열	만화애니메이션학부	4.68 : 1	2.36 : 1
0000065	30	0224831	인문사회계열	호텔경영학과	0.68 : 1	0.24 : 1
0000065	30	U013624	인문사회계열	관광콘텐츠경영학과	0 : 1	0 : 1
0000065	30	U013638	인문사회계열	항공관광경영학과	0 : 1	0 : 1
0000065	30	0233223	자연과학계열	외식조리학과	1.55 : 1	0.02 : 1
0000065	30	U013626	자연과학계열	미슐랭R&M학과	0 : 1	0 : 1
0000065	25	U013627	자연과학계열	펫산업학과	0 : 1	0 : 1
0000065	20	U013628	인문사회계열	문화유산학부	0 : 1	0 : 1
0000065	20	0237380	예체능계열	전통연희전공	0.7 : 1	0.14 : 1
0000065	20	U013639	인문사회계열	문화재유산학부 (야)	0 : 1	0 : 1
0000065	62	U013630	예체능계열	글로벌K-Culture학부	0 : 1	0 : 1
0000066	57	0019660	인문사회계열	국어국문학과	30.9 : 1	4.13 : 1
0000066	42	0011918	인문사회계열	사학과	27.11 : 1	4.31 : 1
0000066	39	0018700	인문사회계열	철학과	40.3 : 1	4.86 : 1
0000066	44	0223410	인문사회계열	영어영문학과	35.54 : 1	4.94 : 1
0000066	44	0223411	인문사회계열	응용영어통번역학과	28.68 : 1	5.35 : 1
0000066	78	0233491	인문사회계열	자율전공학부	27.74 : 1	4.39 : 1
0000066	51	0017332	인문사회계열	정치외교학과	26.1 : 1	3.94 : 1
0000066	77	0016796	인문사회계열	행정학과	26.79 : 1	4.83 : 1
0000066	43	0019701	인문사회계열	사회학과	25.5 : 1	6 : 1
0000066	99	0011681	인문사회계열	경제학과	21 : 1	5.24 : 1
0000068	70	0219172	인문사회계열	인문사회계열	5.62 : 1	3.18 : 1
0000068	60	0219171	공학계열	자연계열	9.14 : 1	4.11 : 1
0000068	42	0211581	인문사회계열	국어국문학전공	4.81 : 1	2.89 : 1
0000068	33	0235216	인문사회계열	한국어교육전공	4.56 : 1	3.13 : 1
0000068	73	0018595	인문사회계열	영어영문학과	4.16 : 1	4.52 : 1
0000068	42	0235299	인문사회계열	독일유럽학과	4 : 1	3.62 : 1
0000068	86	0235298	인문사회계열	중국어중국학과	3.56 : 1	3.7 : 1
0000068	86	0235297	인문사회계열	일본어일본학과	6.21 : 1	4.5 : 1
0000068	43	0235215	인문사회계열	러시아중앙아시아학과	5.47 : 1	3.33 : 1
