I_ID_UNIVLIST	대학코드	대학교명	대학교별명칭	지역코드	지역명	입학정원	취업률	평균 등록금(천원)	schlship	기숙사 수용률	수시 경쟁률	정시 경쟁률	설치 학과 개수	전형 개수
2384	0000066	경희대학교	경희대학교 [본교]		서울	4,830	67.4	7935606.4	3074537.3	17.1	24.57	5.13	94	33
2456	0000068	계명대학교	계명대학교 [본교]		대구	4,620	55.3	7187091.3	3984525	13.7	6.46	4.15	95	29
2528	0000069	고려대학교	고려대학교 [본교]		서울	3,884	73.3	8268998	3269430.3	12.2	14.68	3.7	69	24
2600	0000070	고려대학교(세종)	고려대학교(세종) [분교]		세종	1,449	63.5	8373668.5	3542594	35.8	12.8	6.23	25	23
2672	0000071	고신대학교	고신대학교 [본교]		부산	861	72.9	6620415	3814149.6	37.3	6.51	2.99	22	27
2744	0000251	공주교육대학교	공주교육대학교 [본교]		충남	354	66.7	3424000	2175974.8	43.8	5.37	2.47	1	10
2816	0000008	공주대학교	공주대학교 [본교]		충남	2,815	58.2	3823676.7	2575135.7	31.8	8.45	4.44	92	22
2888	0000073	광신대학교	광신대학교 [본교]		광주	122	61	5977934.4	4373004.8	23.4	0.91	0.51	5	17
2960	0000074	광운대학교	광운대학교 [본교]		서울	1,684	60.6	7830919.5	3005197.5	12	12.43	6.9	29	21
3032	0000075	광주가톨릭대학교	광주가톨릭대학교 [본교]		전남	40	0	0	137640.4	204.6	0.46	0.13	1	5
3104	0000252	광주교육대학교	광주교육대학교 [본교]		광주	326	69.6	3476500	3115850.8	37.4	5.57	3.19	1	13
3176	0000231	광주대학교	광주대학교 [본교]		광주	1,334	64.5	6563829.7	4034215.3	28.4	4.24	0.78	44	7
3248	0000076	광주여자대학교	광주여자대학교 [본교]		광주	890	66.1	6282267.4	4323990.4	14.5	3.78	0.56	23	11
3320	0000078	국민대학교	국민대학교 [본교]		서울	2,966	67	7923884.8	3419381	11.5	10.32	6.02	79	27
3392	0000009	군산대학교	군산대학교 [본교]		전북	1,683	60.8	3934275.5	2780278.5	21.6	3.24	1.2	44	23
3464	0000080	극동대학교	극동대학교 [본교]		충북	888	65.6	7467548	3692354.9	14.5	3.88	0.93	25	24
3536	0000224	금강대학교	금강대학교 [본교]		충남	110	47.1	6564000	6837425.6	224.1	0.32	2.2	1	12
