대학코드	모집정원	학과코드	계열	학과명	수시 경쟁률	정시 경쟁률
0000143	28	0224621	인문사회계열	예술창작학부 문예창작전공	0 : 1	20.18 : 1
0000149	45	0011760	인문사회계열	국어국문학과	19.76 : 1	3.16 : 1
0000149	32	0013112	인문사회계열	중어중문학과	21.93 : 1	5.89 : 1
0000149	73	0015972	인문사회계열	영어영문학과	20.05 : 1	3.6 : 1
0000149	30	0015492	인문사회계열	독어독문학과	17.87 : 1	7 : 1
0000149	33	0013037	인문사회계열	불어불문학과	22 : 1	5.72 : 1
0000149	30	0011733	인문사회계열	노어노문학과	18.07 : 1	4.53 : 1
0000149	45	0017487	인문사회계열	사학과	20.24 : 1	4.16 : 1
0000149	35	0015783	인문사회계열	철학과	20.24 : 1	4.09 : 1
0000149	30	0015039	인문사회계열	문헌정보학과	19.73 : 1	3.13 : 1
0000149	37	0014573	인문사회계열	심리학과	22.65 : 1	4.43 : 1
0000163	0	0226108	인문사회계열	인문과학대학	0 : 1	0 : 1
0000163	62	0219138	인문사회계열	국어국문학과	9.66 : 1	0 : 1
0000163	62	0219137	인문사회계열	중어중문학과	8.58 : 1	0 : 1
0000163	42	0219136	인문사회계열	불어불문학과	10.62 : 1	0 : 1
0000163	28	0219135	인문사회계열	독어독문학과	9.5 : 1	0 : 1
0000163	29	0219134	인문사회계열	사학과	16.66 : 1	0 : 1
0000163	28	0219133	인문사회계열	철학과	13.75 : 1	0 : 1
0000163	20	0219132	인문사회계열	기독교학과	9.14 : 1	0 : 1
0000163	81	0219131	인문사회계열	영어영문학부	10.43 : 1	0 : 1
0000163	0	0219153	인문사회계열	사회과학대학	0 : 1	0 : 1
0000170	50	0013445	인문사회계열	신학과	2.03 : 1	1.81 : 1
0000170	50	0019099	인문사회계열	기독교교육과	1.98 : 1	2 : 1
0000170	50	0007275	예체능계열	교회음악학과	1.54 : 1	1.41 : 1
0000175	36	0216795	인문사회계열	인문대학	0 : 1	5.14 : 1
0000175	38	0017133	인문사회계열	국어국문학과	18.06 : 1	0 : 1
0000175	93	0019493	인문사회계열	영어영문학과	16.86 : 1	0 : 1
0000175	26	0019496	인문사회계열	유럽문화학부(독일어문학전공)	16.21 : 1	0 : 1
0000175	31	0011481	인문사회계열	유럽문화학부(프랑스어문학전공)	15.76 : 1	0 : 1
0000175	25	0011497	인문사회계열	유럽문화학부(러시아어문학전공)	14.48 : 1	0 : 1
0000175	28	0018192	인문사회계열	아시아문화학부(일본어문학전공)	16 : 1	0 : 1
0000175	38	0019425	인문사회계열	아시아문화학부(중국어문학전공)	12.91 : 1	0 : 1
0000175	32	0016065	인문사회계열	철학과	15.63 : 1	0 : 1
0000175	33	0010819	인문사회계열	역사학과	18.8 : 1	0 : 1
0000180	76	0016187	인문사회계열	신학과	4.15 : 1	2.68 : 1
0000180	18	0019358	인문사회계열	아동학과	4.36 : 1	3.67 : 1
0000180	34	0017833	인문사회계열	사회복지학과	4.15 : 1	3.17 : 1
0000180	8	0213909	인문사회계열	중독재활상담학과	2.71 : 1	3 : 1
0000180	25	0206309	인문사회계열	기독교교육과	3.86 : 1	4.25 : 1
0000180	25	0013094	인문사회계열	영어교육과	2.89 : 1	3.67 : 1
0000180	25	0012126	인문사회계열	역사교육과	4.25 : 1	3.17 : 1
0000180	46	0012304	인문사회계열	유아교육과	5.72 : 1	2.45 : 1
0000180	55	0006337	예체능계열	교회음악과	3.15 : 1	1.95 : 1
0000181	32	0114918	예체능계열	국악과	9.75 : 1	3.45 : 1
0000181	26	0116559	예체능계열	성악과	33.33 : 1	2.95 : 1
0000181	27	0118861	예체능계열	피아노과	21.38 : 1	2.95 : 1
0000181	27	0114830	예체능계열	관현악과	15.25 : 1	4.8 : 1
0000181	18	0117814	예체능계열	작곡과	0 : 1	8.06 : 1
0000181	23	0115331	예체능계열	동양화과	19.33 : 1	6.25 : 1
0000181	23	0116534	예체능계열	서양화과	8.67 : 1	8.25 : 1
0000181	23	0118742	예체능계열	판화과	14.14 : 1	6.2 : 1
0000181	23	0215471	인문사회계열	문예창작과	15.25 : 1	25.94 : 1
0000181	20	0207739	인문사회계열	영상시나리오과	4 : 1	7.06 : 1
0000191	63	0211970	인문사회계열	성서학과	1.4 : 1	0.73 : 1
0000191	40	0211968	인문사회계열	사회복지학과	6.09 : 1	3.57 : 1
0000191	40	0211969	인문사회계열	영유아보육학과	6.25 : 1	2.83 : 1
0000191	35	0211971	공학계열	컴퓨터소프트웨어학과	7.13 : 1	4.4 : 1
0000191	50	0211967	자연과학계열	간호학과	22.37 : 1	4.2 : 1
0000192	70	0224708	인문사회계열	ELLT학과	18.32 : 1	4.86 : 1
0000192	71	0212100	인문사회계열	영미문학.문화학과	19.46 : 1	4.3 : 1
0000192	60	0212101	인문사회계열	EICC학과	16.65 : 1	4.5 : 1
0000192	72	0215506	인문사회계열	프랑스어학부	17.62 : 1	6.24 : 1
0000192	88	0013127	인문사회계열	독일어과	17.84 : 1	4.85 : 1
0000192	46	0013089	인문사회계열	노어과	15.4 : 1	5.75 : 1
0000192	87	0019317	인문사회계열	스페인어과	18.29 : 1	5.46 : 1
0000192	31	0020108	인문사회계열	이탈리아어과	14.81 : 1	5.3 : 1
0000192	31	0118801	인문사회계열	포르투갈어과	14.86 : 1	5.18 : 1
0000192	31	0012802	인문사회계열	네덜란드어과	16.71 : 1	9.7 : 1
0000032	236	0007229	예체능계열	체육학과	1.86 : 1	1.25 : 1
0000032	34	0233650	예체능계열	경기지도학과	4.33 : 1	1 : 1
0000032	65	0007033	예체능계열	사회체육학과	12.8 : 1	5.27 : 1
0000032	35	0006844	예체능계열	스포츠청소년지도학과	10.73 : 1	5.1 : 1
0000032	36	0213197	예체능계열	특수체육교육과	5.53 : 1	2.25 : 1
0000032	36	0233649	예체능계열	스포츠산업학과	8.31 : 1	3.93 : 1
0000032	36	0008742	예체능계열	운동건강관리학과	6.7 : 1	1.8 : 1
0000032	36	0212451	예체능계열	노인체육복지학과	9.25 : 1	4.77 : 1
0000032	32	0233647	예체능계열	공연예술학과	14.53 : 1	4.75 : 1
0000032	39	0233648	예체능계열	태권도학과	0 : 1	0 : 1
0000200	128	0221228	인문사회계열	크리에이티브인문학부	5.57 : 1	5.67 : 1
0000200	71	0221227	인문사회계열	크리에이티브인문학부 (야)	4.46 : 1	4.71 : 1
0000200	13	0221216	예체능계열	동양화전공	0 : 1	2.69 : 1
0000200	13	0221214	예체능계열	서양화전공	0 : 1	3.77 : 1
0000200	0	0221229	예체능계열	예술학부	0 : 1	0 : 1
0000200	10	0221213	예체능계열	한국무용전공	9.88 : 1	9 : 1
0000200	8	0221210	예체능계열	현대무용전공	20.67 : 1	19 : 1
0000200	10	0221215	예체능계열	발레전공	8.75 : 1	8.5 : 1
0000200	145	0221623	인문사회계열	사회과학부	7.26 : 1	7.63 : 1
0000200	121	0221225	인문사회계열	사회과학부 (야)	4.43 : 1	4.12 : 1
0000203	48	0000768	공학계열	건축학부	26.38 : 1	3.58 : 1
0000203	47	0002851	공학계열	건축공학부	20.22 : 1	3.95 : 1
0000203	57	0001957	공학계열	건설환경공학과	18.38 : 1	5.48 : 1
0000203	44	0002203	공학계열	도시공학과	19.77 : 1	4 : 1
0000203	32	0216084	공학계열	자원환경공학과	20.73 : 1	5.5 : 1
0000203	145	0002334	공학계열	융합전자공학부	34.83 : 1	3.63 : 1
0000203	150	0220718	공학계열	컴퓨터소프트웨어학부	40.97 : 1	3.17 : 1
